id,order_number,customer_id,shipping_address_id,billing_address_id,status,subtotal,tax,shipping_cost,total,order_date
20,ORD-0000020,1089,1516,1516,delivered,2248.97,157.43,0,2406.4,2023-06-21T23:44:48Z
21,ORD-0000021,1351,1893,1892,returned,2259.64,158.17,0,2417.81,2024-04-28T21:40:28Z
22,ORD-0000022,2313,3236,3236,delivered,1742.59,121.98,0,1864.57,2024-10-05T22:46:49Z
23,ORD-0000023,1615,2266,2267,delivered,1411.77,98.82,0,1510.59,2023-10-12T18:57:36Z
24,ORD-0000024,149,204,204,delivered,3296.33,230.74,0,3527.07,2022-04-24T14:28:08Z
25,ORD-0000025,535,737,737,processing,1776.17,124.33,0,1900.5,2022-07-17T02:12:46Z
26,ORD-0000026,395,544,544,delivered,2732.64,191.28,0,2923.92,2023-11-18T22:37:16Z
27,ORD-0000027,2240,3137,3137,delivered,735.5,51.49,0,786.99,2025-01-06T17:24:03Z
28,ORD-0000028,586,815,815,cancelled,718.75,50.31,0,769.06,2022-06-30T05:16:51Z
29,ORD-0000029,2303,3223,3223,delivered,2347.93,164.36,0,2512.29,2025-01-08T06:15:06Z
30,ORD-0000030,1262,1765,1765,returned,1832.64,128.28,0,1960.92,2023-03-16T19:42:41Z
31,ORD-0000031,1753,2455,2455,cancelled,248.64,17.4,0,266.04,2024-07-29T07:41:22Z
32,ORD-0000032,2493,3497,3497,delivered,1309.16,91.64,0,1400.8,2024-07-02T06:49:08Z
33,ORD-0000033,2913,4078,4078,shipped,401.44,28.1,0,429.54,2025-01-01T14:35:31Z
34,ORD-0000034,417,579,578,delivered,824.77,57.73,0,882.5,2023-11-17T12:30:42Z
35,ORD-0000035,2496,3502,3502,pending,5589.82,391.29,0,5981.11,2024-07-22T16:05:31Z
36,ORD-0000036,2731,3832,3832,delivered,6050.11,423.51,0,6473.62,2024-12-20T18:11:59Z
37,ORD-0000037,1945,2720,2720,delivered,3792.65,265.49,0,4058.14,2025-01-14T19:51:57Z
38,ORD-0000038,34,47,47,processing,667.03,46.69,0,713.72,2023-04-10T09:45:10Z
39,ORD-0000039,2396,3358,3357,delivered,107.47,7.52,0,114.99,2024-06-23T09:28:01Z
40,ORD-0000040,920,1273,1273,delivered,1203.96,84.28,0,1288.24,2024-03-15T15:06:42Z
41,ORD-0000041,1821,2549,2549,delivered,4694.46,328.61,0,5023.07,2024-03-17T08:45:38Z
42,ORD-0000042,1136,1584,1584,delivered,515.99,36.12,0,552.11,2023-10-05T19:09:57Z
43,ORD-0000043,766,1060,1060,delivered,3075.65,215.3,0,3290.95,2023-10-15T22:50:09Z
44,ORD-0000044,2218,3106,3106,delivered,2716.79,190.18,0,2906.97,2024-06-28T02:56:52Z
45,ORD-0000045,2035,2845,2845,delivered,1538.7,107.71,0,1646.41,2024-08-05T02:28:56Z
46,ORD-0000046,1332,1866,1865,delivered,2115.33,148.07,0,2263.4,2024-04-23T10:25:26Z
47,ORD-0000047,2173,3040,3040,delivered,1159.6,81.17,0,1240.77,2024-08-30T20:07:02Z
48,ORD-0000048,469,649,649,cancelled,1690.29,118.32,0,1808.61,2025-01-15T10:58:17Z
49,ORD-0000049,1117,1555,1555,shipped,2412.65,168.89,0,2581.54,2023-09-11T08:25:12Z
50,ORD-0000050,1183,1649,1650,delivered,2140.72,149.85,0,2290.57,2025-01-23T15:59:15Z
51,ORD-0000051,2809,3936,3936,delivered,3190.18,223.31,0,3413.49,2024-12-24T01:31:05Z
52,ORD-0000052,366,506,506,delivered,788.19,55.17,0,843.36,2024-07-07T16:19:48Z
53,ORD-0000053,1165,1626,1626,delivered,1720.44,120.43,0,1840.87,2024-06-18T01:16:14Z
54,ORD-0000054,2182,3053,3053,pending,424.42,29.71,0,454.13,2024-04-06T13:53:24Z
55,ORD-0000055,2256,3159,3159,shipped,1587.1,111.1,0,1698.2,2024-10-04T07:19:43Z
56,ORD-0000056,1768,2475,2475,delivered,262.05,18.34,0,280.39,2023-10-11T03:40:50Z
57,ORD-0000057,326,454,454,delivered,632.82,44.3,0,677.12,2025-01-04T09:07:30Z
58,ORD-0000058,81,110,110,processing,1030.27,72.12,0,1102.39,2021-08-20T21:40:48Z
59,ORD-0000059,871,1208,1208,shipped,510.95,35.77,0,546.72,2024-05-19T08:08:45Z
60,ORD-0000060,1104,1539,1539,shipped,560.18,39.21,0,599.39,2023-01-06T20:40:27Z
61,ORD-0000061,1018,1418,1418,delivered,1921.59,134.51,0,2056.1,2023-04-16T10:02:54Z
62,ORD-0000062,162,224,225,delivered,1193.62,83.55,0,1277.17,2024-04-23T06:34:14Z
63,ORD-0000063,1711,2393,2393,delivered,281.22,19.69,0,300.91,2024-09-22T14:17:11Z
64,ORD-0000064,2734,3836,3836,delivered,166.3,11.64,0,177.94,2024-10-17T11:52:20Z
65,ORD-0000065,2499,3505,3505,delivered,709.67,49.68,0,759.35,2024-08-29T08:19:02Z
66,ORD-0000066,691,961,960,shipped,496.31,34.74,0,531.05,2023-03-02T13:25:17Z
67,ORD-0000067,475,656,656,delivered,1242.3,86.96,0,1329.26,2022-04-15T06:06:00Z
68,ORD-0000068,2007,2808,2808,cancelled,472.56,33.08,0,505.64,2024-12-21T20:10:42Z
69,ORD-0000069,1558,2187,2186,shipped,1113.12,77.92,0,1191.04,2024-07-01T15:35:57Z
70,ORD-0000070,4,5,5,delivered,1083.83,75.87,0,1159.7,2023-04-14T12:11:32Z
71,ORD-0000071,236,325,326,shipped,3416.94,239.19,0,3656.13,2024-10-08T08:22:39Z
72,ORD-0000072,68,93,93,delivered,3669.65,256.88,0,3926.53,2022-07-22T11:15:27Z
73,ORD-0000073,2195,3071,3071,delivered,3125.8,218.81,0,3344.61,2024-11-13T03:24:13Z
74,ORD-0000074,1624,2280,2279,delivered,2096.59,146.76,0,2243.35,2024-11-21T10:17:48Z
75,ORD-0000075,1906,2666,2665,processing,1547.66,108.34,0,1656,2024-12-07T18:31:53Z
76,ORD-0000076,364,503,503,delivered,2485.43,173.98,0,2659.41,2024-10-24T14:36:47Z
77,ORD-0000077,232,320,320,delivered,766.48,53.65,0,820.13,2023-04-12T13:56:57Z
78,ORD-0000078,1077,1501,1501,shipped,5035.99,352.52,0,5388.51,2022-12-22T20:04:30Z
79,ORD-0000079,2956,4142,4142,shipped,665.82,46.61,0,712.43,2025-01-15T07:20:21Z
80,ORD-0000080,1427,1997,1998,delivered,144.77,10.13,0,154.9,2024-09-08T17:51:27Z
81,ORD-0000081,1784,2495,2496,processing,1785.57,124.99,0,1910.56,2023-10-27T02:35:24Z
82,ORD-0000082,1752,2454,2454,delivered,1875.01,131.25,0,2006.26,2023-10-21T12:12:07Z
83,ORD-0000083,2211,3095,3095,returned,1971.92,138.03,0,2109.95,2024-12-08T21:38:47Z
84,ORD-0000084,236,326,325,processing,1637.28,114.61,0,1751.89,2023-05-29T20:17:11Z
85,ORD-0000085,842,1168,1168,processing,3369.62,235.87,0,3605.49,2023-03-18T06:20:24Z
86,ORD-0000086,369,509,509,processing,2509.51,175.67,0,2685.18,2022-06-20T07:34:53Z
87,ORD-0000087,2185,3060,3060,delivered,14.63,1.02,11.68,27.33,2024-04-17T12:43:01Z
88,ORD-0000088,805,1113,1113,delivered,87.5,6.13,0,93.63,2023-08-03T12:00:32Z
89,ORD-0000089,266,369,369,delivered,2080.32,145.62,0,2225.94,2024-08-15T22:24:43Z
90,ORD-0000090,708,981,981,delivered,1439.96,100.8,0,1540.76,2023-02-24T07:41:02Z
91,ORD-0000091,1931,2701,2701,delivered,2254.07,157.78,0,2411.85,2024-05-28T10:58:22Z
92,ORD-0000092,2146,3004,3004,delivered,593.4,41.54,0,634.94,2024-08-12T04:46:56Z
93,ORD-0000093,1361,1908,1907,pending,4029.45,282.06,0,4311.51,2024-10-15T07:54:00Z
94,ORD-0000094,2293,3207,3207,delivered,1656.03,115.92,0,1771.95,2024-08-01T20:13:11Z
95,ORD-0000095,2517,3527,3527,processing,427.74,29.94,0,457.68,2024-11-25T08:05:43Z
96,ORD-0000096,2972,4164,4164,delivered,437.59,30.63,0,468.22,2025-01-07T04:34:25Z
97,ORD-0000097,2246,3145,3145,shipped,593.38,41.54,0,634.92,2024-05-06T03:35:30Z
98,ORD-0000098,727,1004,1004,pending,2935.51,205.49,0,3141,2024-12-29T19:15:17Z
99,ORD-0000099,701,973,973,processing,6519.37,456.36,0,6975.73,2022-08-11T15:31:21Z
100,ORD-0000100,1978,2768,2768,shipped,2186.28,153.04,0,2339.32,2025-01-04T03:25:19Z
101,ORD-0000101,683,950,950,processing,2006.96,140.49,0,2147.45,2024-04-19T09:38:10Z
102,ORD-0000102,35,48,48,processing,2362.19,165.35,0,2527.54,2024-11-28T11:37:13Z
103,ORD-0000103,14,19,19,delivered,1491.37,104.4,0,1595.77,2022-11-13T13:44:43Z
104,ORD-0000104,2348,3284,3284,delivered,800.49,56.03,0,856.52,2024-07-21T21:36:33Z
105,ORD-0000105,230,317,317,cancelled,1484.55,103.92,0,1588.47,2023-12-07T03:11:41Z
106,ORD-0000106,1536,2155,2155,delivered,1004.6,70.32,0,1074.92,2023-07-20T14:35:07Z
107,ORD-0000107,893,1238,1238,delivered,1659.13,116.14,0,1775.27,2023-08-10T07:04:40Z
108,ORD-0000108,2691,3777,3777,delivered,672.44,47.07,0,719.51,2024-09-13T23:19:43Z
109,ORD-0000109,1455,2039,2039,delivered,610.88,42.76,0,653.64,2023-10-02T20:06:57Z
110,ORD-0000110,1219,1706,1705,shipped,3051.8,213.63,0,3265.43,2023-10-11T11:56:16Z
111,ORD-0000111,184,251,251,delivered,2098.39,146.89,0,2245.28,2022-10-09T07:31:16Z
112,ORD-0000112,17,24,24,delivered,2869.83,200.89,0,3070.72,2024-12-27T04:29:14Z
113,ORD-0000113,2096,2933,2933,delivered,5198.28,363.88,0,5562.16,2024-10-12T10:59:53Z
114,ORD-0000114,1683,2357,2357,shipped,3273.92,229.17,0,3503.09,2024-12-31T17:47:09Z
115,ORD-0000115,103,141,141,processing,846.59,59.26,0,905.85,2022-01-25T13:37:08Z
116,ORD-0000116,1478,2075,2075,delivered,781.66,54.72,0,836.38,2024-11-07T00:21:48Z
117,ORD-0000117,1296,1814,1814,processing,1137.83,79.65,0,1217.48,2023-08-23T15:12:00Z
118,ORD-0000118,251,348,348,delivered,204.82,14.34,0,219.16,2022-04-22T15:59:06Z
119,ORD-0000119,1839,2574,2573,delivered,2211.41,154.8,0,2366.21,2024-11-13T15:38:58Z
120,ORD-0000120,1843,2580,2580,delivered,1104.98,77.35,0,1182.33,2024-01-19T11:51:05Z
121,ORD-0000121,2305,3227,3226,delivered,1844.2,129.09,0,1973.29,2024-07-06T12:53:35Z
122,ORD-0000122,2008,2810,2810,shipped,695.33,48.67,0,744,2024-01-14T18:27:55Z
123,ORD-0000123,1015,1414,1414,delivered,2351.56,164.61,0,2516.17,2024-12-29T08:41:53Z
124,ORD-0000124,1322,1851,1850,pending,4505.29,315.37,0,4820.66,2024-05-11T06:48:56Z
125,ORD-0000125,258,359,359,delivered,2636.32,184.54,0,2820.86,2024-05-20T11:53:58Z
126,ORD-0000126,681,948,948,cancelled,5042.42,352.97,0,5395.39,2024-08-23T06:00:18Z
127,ORD-0000127,1802,2522,2522,delivered,2235.5,156.49,0,2391.99,2024-02-28T08:43:30Z
128,ORD-0000128,1293,1811,1811,returned,2411.62,168.81,0,2580.43,2023-12-30T08:56:04Z
129,ORD-0000129,1115,1553,1553,delivered,2797.57,195.83,0,2993.4,2024-10-04T12:41:58Z
130,ORD-0000130,1491,2091,2092,delivered,2074.66,145.23,0,2219.89,2023-05-28T02:33:32Z
131,ORD-0000131,595,827,827,delivered,393.11,27.52,0,420.63,2024-11-14T20:57:46Z
132,ORD-0000132,271,375,375,delivered,1351.02,94.57,0,1445.59,2021-11-13T01:04:11Z
133,ORD-0000133,1260,1763,1763,delivered,341.6,23.91,0,365.51,2023-03-30T01:39:38Z
134,ORD-0000134,951,1323,1323,pending,399.59,27.97,0,427.56,2024-10-14T01:50:36Z
135,ORD-0000135,467,647,647,cancelled,972.42,68.07,0,1040.49,2023-05-20T13:31:26Z
136,ORD-0000136,1,1,1,shipped,50.08,3.51,11.21,64.8,2022-08-17T19:44:06Z
137,ORD-0000137,1233,1724,1724,delivered,5309.84,371.69,0,5681.53,2024-08-27T15:01:44Z
138,ORD-0000138,2734,3836,3836,delivered,4963.28,347.43,0,5310.71,2024-12-31T06:06:35Z
139,ORD-0000139,2114,2957,2958,delivered,4246.42,297.25,0,4543.67,2024-03-16T22:28:00Z
140,ORD-0000140,2044,2858,2858,shipped,192.8,13.5,0,206.3,2024-05-12T10:02:24Z
141,ORD-0000141,2795,3919,3919,delivered,233.32,16.33,0,249.65,2024-11-29T12:00:37Z
142,ORD-0000142,37,50,50,pending,569.31,39.85,0,609.16,2021-08-03T07:40:36Z
143,ORD-0000143,1628,2284,2285,delivered,2050.11,143.51,0,2193.62,2024-08-30T12:16:49Z
144,ORD-0000144,1939,2713,2713,delivered,3258.92,228.12,0,3487.04,2023-12-30T21:46:47Z
145,ORD-0000145,2748,3854,3854,delivered,1948.12,136.37,0,2084.49,2024-12-02T20:20:58Z
146,ORD-0000146,160,221,221,delivered,56.45,3.95,10.49,70.89,2022-09-12T12:08:16Z
147,ORD-0000147,1560,2190,2190,delivered,730.88,51.16,0,782.04,2024-11-03T17:42:33Z
148,ORD-0000148,749,1037,1037,delivered,2920.68,204.45,0,3125.13,2023-04-23T08:06:45Z
149,ORD-0000149,686,954,954,delivered,2419.26,169.35,0,2588.61,2023-05-29T19:34:15Z
150,ORD-0000150,772,1067,1068,shipped,2508.29,175.58,0,2683.87,2022-08-09T23:07:17Z
151,ORD-0000151,190,260,260,delivered,3287.36,230.12,0,3517.48,2023-12-07T17:01:05Z
152,ORD-0000152,1742,2438,2439,delivered,269.14,18.84,0,287.98,2024-05-27T19:12:48Z
153,ORD-0000153,2483,3480,3481,cancelled,2840.5,198.84,0,3039.34,2024-08-18T14:49:02Z
154,ORD-0000154,90,123,123,shipped,349.4,24.46,0,373.86,2023-01-16T07:36:42Z
155,ORD-0000155,318,443,443,shipped,492.7,34.49,0,527.19,2024-10-24T20:12:12Z
156,ORD-0000156,2024,2830,2830,cancelled,1243.29,87.03,0,1330.32,2024-11-10T07:18:16Z
157,ORD-0000157,557,773,773,delivered,470.05,32.9,0,502.95,2023-09-11T00:51:19Z
158,ORD-0000158,1002,1397,1397,delivered,2665.27,186.57,0,2851.84,2023-08-13T10:36:59Z
159,ORD-0000159,1264,1767,1768,delivered,823.24,57.63,0,880.87,2024-10-01T16:46:09Z
160,ORD-0000160,839,1163,1163,pending,3204.04,224.28,0,3428.32,2024-08-31T12:12:35Z
161,ORD-0000161,1986,2778,2778,delivered,931.93,65.24,0,997.17,2024-07-05T03:57:28Z
162,ORD-0000162,114,157,157,processing,1175.96,82.32,0,1258.28,2022-12-04T00:51:04Z
163,ORD-0000163,841,1166,1166,delivered,26.06,1.82,11.23,39.11,2022-09-01T19:46:50Z
164,ORD-0000164,1257,1758,1758,pending,1740.98,121.87,0,1862.85,2025-01-02T19:30:21Z
165,ORD-0000165,1640,2300,2300,returned,2716.12,190.13,0,2906.25,2024-11-13T23:25:55Z
166,ORD-0000166,1979,2769,2769,shipped,423.36,29.64,0,453,2024-09-25T02:19:33Z
167,ORD-0000167,865,1200,1201,delivered,3895.64,272.69,0,4168.33,2024-11-14T01:06:05Z
168,ORD-0000168,328,456,456,shipped,3368.5,235.8,0,3604.3,2024-03-25T05:12:40Z
169,ORD-0000169,49,68,68,delivered,328.45,22.99,0,351.44,2021-07-15T10:00:24Z
170,ORD-0000170,441,612,612,delivered,3906.84,273.48,0,4180.32,2024-06-15T15:38:47Z
171,ORD-0000171,41,57,56,delivered,4028.39,281.99,0,4310.38,2024-10-02T23:03:22Z
172,ORD-0000172,2208,3090,3091,delivered,380,26.6,0,406.6,2024-11-19T12:47:32Z
173,ORD-0000173,542,750,750,shipped,571.81,40.03,0,611.84,2024-04-17T12:57:19Z
174,ORD-0000174,2423,3396,3396,shipped,1310.53,91.74,0,1402.27,2024-09-30T13:22:38Z
175,ORD-0000175,36,49,49,delivered,653.09,45.72,0,698.81,2021-05-04T08:58:30Z
176,ORD-0000176,1,1,1,shipped,2549.72,178.48,0,2728.2,2021-03-31T19:21:18Z
177,ORD-0000177,2261,3165,3165,delivered,718.56,50.3,0,768.86,2024-06-14T06:53:36Z
178,ORD-0000178,2779,3897,3896,delivered,3316.6,232.16,0,3548.76,2024-12-17T16:51:27Z
179,ORD-0000179,899,1246,1246,processing,2754.21,192.79,0,2947,2023-06-18T09:42:22Z
180,ORD-0000180,2854,3990,3990,delivered,2168.98,151.83,0,2320.81,2024-12-15T16:46:09Z
181,ORD-0000181,110,153,152,processing,2515.94,176.12,0,2692.06,2024-12-20T22:42:16Z
182,ORD-0000182,1132,1578,1578,delivered,1802.34,126.16,0,1928.5,2024-08-18T22:47:17Z
183,ORD-0000183,1429,2001,2001,delivered,2598.38,181.89,0,2780.27,2023-05-04T23:50:28Z
184,ORD-0000184,1754,2456,2457,processing,4519.33,316.35,0,4835.68,2024-05-22T01:04:11Z
185,ORD-0000185,752,1042,1042,delivered,1037.18,72.6,0,1109.78,2024-11-06T04:30:41Z
186,ORD-0000186,220,301,302,pending,3583.43,250.84,0,3834.27,2025-01-23T10:54:32Z
187,ORD-0000187,1167,1628,1628,delivered,53.82,3.77,10.22,67.81,2024-06-24T06:21:13Z
188,ORD-0000188,1401,1964,1964,processing,314.75,22.03,0,336.78,2024-10-14T03:17:48Z
189,ORD-0000189,513,709,709,shipped,373.38,26.14,0,399.52,2024-10-27T15:40:22Z
190,ORD-0000190,1035,1441,1441,shipped,345.75,24.2,0,369.95,2024-02-16T22:16:00Z
191,ORD-0000191,1650,2314,2313,returned,714,49.98,0,763.98,2025-01-13T05:40:03Z
192,ORD-0000192,311,435,434,processing,1165.26,81.57,0,1246.83,2022-06-26T12:13:13Z
193,ORD-0000193,23,33,34,delivered,1743.49,122.04,0,1865.53,2023-12-11T10:25:37Z
194,ORD-0000194,1011,1408,1408,delivered,486.9,34.08,0,520.98,2023-03-23T06:40:32Z
195,ORD-0000195,891,1236,1236,delivered,1096.49,76.75,0,1173.24,2023-03-15T19:10:29Z
196,ORD-0000196,1048,1460,1460,delivered,1730.57,121.14,0,1851.71,2025-01-25T14:39:11Z
197,ORD-0000197,909,1258,1258,delivered,539.2,37.74,0,576.94,2022-10-15T12:51:55Z
198,ORD-0000198,781,1081,1081,delivered,1342.27,93.96,0,1436.23,2024-02-05T16:11:07Z
199,ORD-0000199,9,14,14,shipped,1050.29,73.52,0,1123.81,2022-11-24T20:28:01Z
200,ORD-0000200,479,664,663,delivered,1298.82,90.92,0,1389.74,2024-01-14T09:00:05Z
201,ORD-0000201,2854,3990,3990,delivered,1260.47,88.23,0,1348.7,2024-12-19T19:32:09Z
202,ORD-0000202,2123,2971,2971,processing,437.58,30.63,0,468.21,2024-10-08T04:49:27Z
203,ORD-0000203,1020,1420,1420,delivered,1181.28,82.69,0,1263.97,2023-09-11T00:51:21Z
204,ORD-0000204,2547,3568,3567,delivered,702.72,49.19,0,751.91,2024-08-23T05:46:00Z
205,ORD-0000205,558,775,774,delivered,2780.49,194.63,0,2975.12,2023-03-05T03:47:05Z
206,ORD-0000206,2147,3005,3005,processing,1382.06,96.74,0,1478.8,2024-06-26T05:47:44Z
207,ORD-0000207,1028,1432,1432,delivered,2924.6,204.72,0,3129.32,2023-11-21T00:23:30Z
208,ORD-0000208,1151,1605,1605,shipped,2020.93,141.47,0,2162.4,2023-08-20T14:18:50Z
209,ORD-0000209,1125,1567,1566,delivered,463.99,32.48,0,496.47,2024-04-03T00:46:23Z
210,ORD-0000210,464,642,643,delivered,191.54,13.41,0,204.95,2023-02-05T11:46:53Z
211,ORD-0000211,166,230,230,delivered,1634.58,114.42,0,1749,2023-12-31T04:38:40Z
212,ORD-0000212,53,74,74,processing,1284.33,89.9,0,1374.23,2023-09-29T04:54:09Z
213,ORD-0000213,32,45,45,delivered,235.8,16.51,0,252.31,2022-05-16T05:56:25Z
214,ORD-0000214,1873,2622,2623,processing,1108.67,77.61,0,1186.28,2024-09-16T07:44:45Z
215,ORD-0000215,41,56,56,delivered,792.81,55.5,0,848.31,2023-12-16T05:22:27Z
216,ORD-0000216,18,25,25,delivered,1041.88,72.93,0,1114.81,2021-12-05T00:19:49Z
217,ORD-0000217,1198,1674,1674,delivered,158.06,11.06,0,169.12,2023-08-11T19:35:07Z
218,ORD-0000218,1096,1527,1527,cancelled,3295.31,230.67,0,3525.98,2024-07-06T03:38:30Z
219,ORD-0000219,2718,3814,3814,delivered,1527.44,106.92,0,1634.36,2024-11-20T23:35:47Z
220,ORD-0000220,55,76,76,delivered,2090.91,146.36,0,2237.27,2021-05-05T14:31:42Z
221,ORD-0000221,1182,1648,1648,processing,223.4,15.64,0,239.04,2024-11-14T01:24:20Z
222,ORD-0000222,2590,3625,3625,returned,2577.55,180.43,0,2757.98,2024-12-09T18:23:38Z
223,ORD-0000223,1879,2631,2630,delivered,910.32,63.72,0,974.04,2024-01-19T21:09:00Z
224,ORD-0000224,287,398,398,delivered,173.67,12.16,0,185.83,2021-11-11T09:31:53Z
225,ORD-0000225,198,272,271,shipped,45.88,3.21,10.73,59.82,2022-01-28T06:40:19Z
226,ORD-0000226,1796,2513,2513,cancelled,1140.04,79.8,0,1219.84,2024-11-08T12:44:16Z
227,ORD-0000227,872,1210,1210,delivered,1111.02,77.77,0,1188.79,2024-07-22T00:59:53Z
228,ORD-0000228,931,1290,1290,delivered,965.06,67.55,0,1032.61,2023-10-31T22:23:25Z
229,ORD-0000229,2089,2922,2922,delivered,4038.08,282.67,0,4320.75,2024-07-03T19:05:18Z
230,ORD-0000230,1815,2538,2539,delivered,2450.64,171.54,0,2622.18,2024-09-02T01:52:50Z
231,ORD-0000231,830,1148,1148,delivered,2762.36,193.37,0,2955.73,2023-03-20T07:14:35Z
232,ORD-0000232,1243,1738,1738,delivered,4773.41,334.14,0,5107.55,2024-07-10T07:21:01Z
233,ORD-0000233,2610,3654,3654,delivered,500.58,35.04,0,535.62,2024-10-21T06:40:16Z
234,ORD-0000234,898,1245,1245,delivered,997.59,69.83,0,1067.42,2023-10-22T14:23:47Z
235,ORD-0000235,1063,1482,1482,cancelled,2257.07,157.99,0,2415.06,2023-12-08T04:00:24Z
236,ORD-0000236,2275,3183,3183,delivered,245.46,17.18,0,262.64,2024-10-24T20:09:00Z
237,ORD-0000237,1558,2187,2187,processing,919.86,64.39,0,984.25,2024-12-23T01:15:05Z
238,ORD-0000238,1087,1514,1513,returned,2266.24,158.64,0,2424.88,2023-04-08T04:44:16Z
239,ORD-0000239,774,1070,1070,delivered,2712.7,189.89,0,2902.59,2023-07-07T11:20:27Z
240,ORD-0000240,1564,2195,2195,delivered,2603.38,182.24,0,2785.62,2023-08-27T21:38:23Z
241,ORD-0000241,2644,3706,3706,delivered,237.64,16.63,0,254.27,2024-11-03T15:38:58Z
242,ORD-0000242,1976,2765,2764,delivered,286.45,20.05,0,306.5,2024-10-24T19:04:28Z
243,ORD-0000243,1876,2627,2627,pending,1793.62,125.55,0,1919.17,2024-10-03T11:58:48Z
244,ORD-0000244,770,1065,1065,shipped,1056.99,73.99,0,1130.98,2024-11-24T12:31:20Z
245,ORD-0000245,1052,1468,1468,delivered,1139.68,79.78,0,1219.46,2024-09-09T16:43:29Z
246,ORD-0000246,2153,3013,3013,delivered,2659.54,186.17,0,2845.71,2024-09-14T06:27:18Z
247,ORD-0000247,155,213,212,delivered,108.01,7.56,0,115.57,2022-04-26T08:07:26Z
248,ORD-0000248,2305,3227,3226,delivered,1393.34,97.53,0,1490.87,2025-01-15T04:46:17Z
249,ORD-0000249,2005,2806,2806,pending,954.76,66.83,0,1021.59,2024-08-24T04:19:01Z
250,ORD-0000250,2535,3551,3551,delivered,2249.36,157.46,0,2406.82,2024-12-30T23:14:31Z
251,ORD-0000251,1179,1644,1644,delivered,4000.94,280.07,0,4281.01,2023-11-07T01:39:49Z
252,ORD-0000252,1584,2222,2222,delivered,5277.55,369.43,0,5646.98,2024-12-02T04:14:34Z
253,ORD-0000253,1,1,1,delivered,1599.31,111.95,0,1711.26,2024-09-19T04:31:54Z
254,ORD-0000254,1689,2365,2365,delivered,1972.32,138.06,0,2110.38,2024-12-14T14:34:28Z
255,ORD-0000255,566,786,786,delivered,347.44,24.32,0,371.76,2024-04-28T12:35:21Z
256,ORD-0000256,520,718,718,pending,1900.28,133.02,0,2033.3,2022-07-20T14:47:08Z
257,ORD-0000257,15,21,20,shipped,45.89,3.21,10.49,59.59,2022-06-09T05:14:44Z
258,ORD-0000258,222,305,305,delivered,3511.63,245.81,0,3757.44,2023-08-16T21:07:55Z
259,ORD-0000259,149,204,204,shipped,1598.56,111.9,0,1710.46,2021-09-04T00:45:33Z
260,ORD-0000260,89,121,121,processing,1920.94,134.47,0,2055.41,2024-03-09T04:13:02Z
261,ORD-0000261,1824,2553,2554,delivered,1638.51,114.7,0,1753.21,2024-11-24T03:41:47Z
262,ORD-0000262,708,981,981,delivered,1608.48,112.59,0,1721.07,2024-12-19T18:58:45Z
263,ORD-0000263,417,578,579,delivered,453.72,31.76,0,485.48,2023-08-29T22:41:18Z
264,ORD-0000264,1775,2484,2484,delivered,5401.16,378.08,0,5779.24,2024-03-22T16:19:11Z
265,ORD-0000265,231,318,318,returned,1028.36,71.99,0,1100.35,2023-11-09T14:03:12Z
266,ORD-0000266,1040,1446,1446,returned,2952.04,206.64,0,3158.68,2023-03-06T13:40:09Z
267,ORD-0000267,415,574,575,delivered,294.6,20.62,0,315.22,2024-07-22T00:03:52Z
