id,sku,name,description,category_id,supplier_id,price,cost,stock_quantity,weight_kg,is_active,created_at
62,SKU-21-806453,Prime Sandals 226,Prime Sandals 226 — quality shoes product.,21,34,92.56,59.32,11,10.99,1,2021-01-10T18:12:52Z
63,SKU-12-341925,Essential Action Cam 216,Essential Action Cam 216 — quality cameras product.,12,47,223.37,104.97,81,3.06,1,2021-01-11T00:49:55Z
64,SKU-10-437965,Portable Smartphone 367,Portable Smartphone 367 — quality smartphones product.,10,35,243.88,125.32,263,2.78,1,2021-01-11T03:35:42Z
65,SKU-20-171606,Lightweight Kids Jacket 434,Lightweight Kids Jacket 434 — quality kids product.,20,25,451.82,236.22,432,9.83,1,2021-01-11T03:49:59Z
66,SKU-22-039750,Smart Novel 939,Smart Novel 939 — quality fiction product.,22,54,85.47,52.97,102,6.12,1,2021-01-11T10:52:27Z
67,SKU-25-447347,Ultra Kettlebell 281,Ultra Kettlebell 281 — quality fitness product.,25,51,601.52,379.61,302,7.21,1,2021-01-11T15:57:52Z
68,SKU-33-930675,Eco Shampoo 247,Eco Shampoo 247 — quality hair care product.,33,13,392.94,300.12,8,11.03,1,2021-01-11T20:05:32Z
69,SKU-35-808150,Classic Dish Soap 611,Classic Dish Soap 611 — quality cleaning product.,35,12,426.04,252.98,93,1.47,1,2021-01-11T23:56:33Z
70,SKU-28-805879,Eco Card Game 201,Eco Card Game 201 — quality board games product.,28,29,808.76,400.3,464,12.04,1,2021-01-12T03:35:38Z
71,SKU-17-375505,Essential Toaster 560,Essential Toaster 560 — quality small appliances product.,17,51,594.69,272.77,451,9.68,1,2021-01-12T07:36:25Z
72,SKU-31-221339,Ultra Cleanser 736,Ultra Cleanser 736 — quality skincare product.,31,46,318.87,158.91,324,0.66,1,2021-01-12T09:48:07Z
73,SKU-29-762423,Pro Action Figure 266,Pro Action Figure 266 — quality action figures product.,29,65,250.89,174.38,395,14.26,1,2021-01-12T10:38:25Z
74,SKU-12-410078,Lightweight DSLR 421,Lightweight DSLR 421 — quality cameras product.,12,20,425.98,271.98,433,4.22,1,2021-01-12T17:31:14Z
75,SKU-24-306019,Essential Picture Book 320,Essential Picture Book 320 — quality children's books product.,24,49,562.04,310.4,304,0.97,1,2021-01-12T21:27:53Z
76,SKU-18-914465,Deluxe Jacket 354,Deluxe Jacket 354 — quality men's product.,18,17,462.5,342.33,398,2.24,0,2021-01-13T05:16:48Z
77,SKU-10-881056,Portable Mobile 837,Portable Mobile 837 — quality smartphones product.,10,8,707.95,395.58,142,1.31,1,2021-01-13T09:42:44Z
78,SKU-14-328023,Portable Saucepan 938,Portable Saucepan 938 — quality cookware product.,14,17,665.62,319.16,410,2.46,1,2021-01-13T17:21:18Z
79,SKU-15-146951,Max Desk 178,Max Desk 178 — quality furniture product.,15,52,475.06,349.89,34,15.08,1,2021-01-14T01:09:49Z
80,SKU-19-647310,Deluxe Dress 486,Deluxe Dress 486 — quality women's product.,19,46,603.23,274.25,234,12.18,1,2021-01-14T04:47:36Z
81,SKU-10-141726,Classic Mobile 153,Classic Mobile 153 — quality smartphones product.,10,33,213.16,114.25,471,7.11,1,2021-01-14T07:27:42Z
82,SKU-35-481133,Ultra Laundry Detergent 491,Ultra Laundry Detergent 491 — quality cleaning product.,35,31,411.77,223.71,91,12.37,1,2021-01-14T13:36:25Z
83,SKU-32-026248,Smart Lipstick 607,Smart Lipstick 607 — quality makeup product.,32,39,403.76,244.37,195,12.46,1,2021-01-14T21:07:11Z
84,SKU-31-760155,Portable Moisturizer 414,Portable Moisturizer 414 — quality skincare product.,31,16,699.57,380.11,109,11.98,1,2021-01-15T03:21:41Z
85,SKU-13-114864,Portable LED TV 503,Portable LED TV 503 — quality televisions product.,13,64,41.09,22.95,354,7.46,1,2021-01-15T05:01:17Z
86,SKU-32-122247,Prime Eyeshadow Palette 131,Prime Eyeshadow Palette 131 — quality makeup product.,32,70,744.49,384.03,277,9.6,1,2021-01-15T10:21:45Z
87,SKU-23-671418,Eco Biography 612,Eco Biography 612 — quality non-fiction product.,23,70,641.7,349.22,464,8.24,1,2021-01-15T17:22:52Z
88,SKU-26-153422,Deluxe Sleeping Bag 980,Deluxe Sleeping Bag 980 — quality camping product.,26,17,34.58,17.59,200,4.88,1,2021-01-16T00:50:56Z
89,SKU-19-353941,Deluxe Dress 784,Deluxe Dress 784 — quality women's product.,19,43,471.82,226.62,210,11.83,1,2021-01-16T08:18:05Z
90,SKU-12-878873,Classic Camera 836,Classic Camera 836 — quality cameras product.,12,59,336.45,156.93,139,4.18,1,2021-01-16T13:33:57Z
91,SKU-10-753993,Compact Phone 909,Compact Phone 909 — quality smartphones product.,10,8,281.57,151.59,349,0.84,1,2021-01-16T17:14:51Z
92,SKU-26-524243,Pro Camp Stove 318,Pro Camp Stove 318 — quality camping product.,26,11,670.24,388.14,207,12.48,1,2021-01-16T22:49:27Z
93,SKU-17-479800,Prime Coffee Maker 763,Prime Coffee Maker 763 — quality small appliances product.,17,36,343.92,171.93,376,4.3,1,2021-01-17T04:38:45Z
94,SKU-23-219537,Ultra Guidebook 407,Ultra Guidebook 407 — quality non-fiction product.,23,30,103.46,53.43,262,1.3,1,2021-01-17T11:15:23Z
95,SKU-23-007039,Essential Guidebook 759,Essential Guidebook 759 — quality non-fiction product.,23,45,795.38,370.03,381,10.72,1,2021-01-17T14:09:45Z
96,SKU-32-071130,Heavy-Duty Mascara 381,Heavy-Duty Mascara 381 — quality makeup product.,32,47,508.41,276.5,481,6.72,0,2021-01-17T15:57:43Z
97,SKU-14-833088,Classic Cookware Set 102,Classic Cookware Set 102 — quality cookware product.,14,7,737.75,402.06,343,6.86,0,2021-01-17T19:51:56Z
98,SKU-26-889240,Heavy-Duty Backpack 709,Heavy-Duty Backpack 709 — quality camping product.,26,21,414.95,292.17,88,7.46,1,2021-01-17T22:21:57Z
99,SKU-29-628632,Prime Collectible Figure 342,Prime Collectible Figure 342 — quality action figures product.,29,11,79.18,43.95,111,7.16,1,2021-01-18T03:27:29Z
100,SKU-27-799334,Eco Bike Light 301,Eco Bike Light 301 — quality cycling product.,27,3,249.39,117.82,25,13.97,1,2021-01-18T04:25:51Z
101,SKU-30-273745,Eco Puzzle 361,Eco Puzzle 361 — quality educational product.,30,62,409.93,272.13,189,9.8,1,2021-01-18T09:52:19Z
102,SKU-20-743154,Premium Kids Shorts 466,Premium Kids Shorts 466 — quality kids product.,20,32,405.96,203.92,227,0.65,1,2021-01-18T14:26:51Z
103,SKU-27-580499,Prime Helmet 271,Prime Helmet 271 — quality cycling product.,27,34,294.4,191.37,457,7.97,1,2021-01-18T22:12:34Z
104,SKU-17-636049,Smart Air Fryer 664,Smart Air Fryer 664 — quality small appliances product.,17,69,615.59,332.16,174,13.01,1,2021-01-19T04:30:26Z
105,SKU-18-682388,Prime Hoodie 928,Prime Hoodie 928 — quality men's product.,18,24,426.98,231.12,60,7.71,1,2021-01-19T05:07:11Z
106,SKU-17-207045,Portable Toaster 606,Portable Toaster 606 — quality small appliances product.,17,16,343.79,258.74,24,9.25,1,2021-01-19T11:22:24Z
107,SKU-23-097535,Pro Guidebook 590,Pro Guidebook 590 — quality non-fiction product.,23,18,344.47,244.59,383,13.86,1,2021-01-19T16:34:47Z
108,SKU-26-998018,Eco Backpack 739,Eco Backpack 739 — quality camping product.,26,8,437.15,264.91,369,10.85,1,2021-01-19T23:41:17Z
109,SKU-18-234833,Lightweight Jeans 596,Lightweight Jeans 596 — quality men's product.,18,39,402.41,203.1,379,5.74,1,2021-01-20T03:38:25Z
110,SKU-24-646271,Classic Storybook 919,Classic Storybook 919 — quality children's books product.,24,54,126.78,79.52,395,14.53,1,2021-01-20T06:58:38Z
111,SKU-31-400331,Eco Cleanser 795,Eco Cleanser 795 — quality skincare product.,31,38,168.58,91.05,346,10.85,1,2021-01-20T07:49:36Z
112,SKU-31-405384,Eco Cleanser 780,Eco Cleanser 780 — quality skincare product.,31,42,393.51,208.63,31,6.81,0,2021-01-20T11:20:55Z
113,SKU-23-136977,Premium Handbook 330,Premium Handbook 330 — quality non-fiction product.,23,2,84.26,44.66,390,7.64,1,2021-01-20T13:11:35Z
114,SKU-21-082457,Essential Boots 767,Essential Boots 767 — quality shoes product.,21,9,186.39,104.04,28,3.23,1,2021-01-20T21:09:11Z
115,SKU-27-838109,Prime Cycling Gloves 213,Prime Cycling Gloves 213 — quality cycling product.,27,52,880.11,402.17,80,14.55,1,2021-01-20T23:12:27Z
116,SKU-32-616782,Deluxe Foundation 987,Deluxe Foundation 987 — quality makeup product.,32,36,597.34,363.72,120,12.52,1,2021-01-21T02:09:35Z
117,SKU-15-886711,Ultra Office Chair 929,Ultra Office Chair 929 — quality furniture product.,15,40,485.34,234.02,204,8.59,1,2021-01-21T08:55:49Z
118,SKU-35-032141,Classic All-Purpose Cleaner 204,Classic All-Purpose Cleaner 204 — quality cleaning product.,35,10,245.84,184.47,12,5.99,1,2021-01-21T11:13:26Z
119,SKU-32-537688,Elite Foundation 910,Elite Foundation 910 — quality makeup product.,32,33,66.17,36.14,258,10.71,1,2021-01-21T16:15:53Z
120,SKU-9-151401,Pro Ultrabook 637,Pro Ultrabook 637 — quality laptops product.,9,5,545.76,318.6,149,0.19,1,2021-01-21T19:42:19Z
121,SKU-28-908990,Max Strategy Game 439,Max Strategy Game 439 — quality board games product.,28,32,351.39,179.21,116,3.49,1,2021-01-21T21:02:48Z
122,SKU-35-574246,Pro All-Purpose Cleaner 683,Pro All-Purpose Cleaner 683 — quality cleaning product.,35,57,197.84,96.2,36,9.84,1,2021-01-22T04:58:58Z
123,SKU-35-796035,Lightweight Laundry Detergent 170,Lightweight Laundry Detergent 170 — quality cleaning product.,35,34,366.76,195.58,78,3.92,1,2021-01-22T11:18:11Z
124,SKU-29-021499,Classic Collectible Figure 600,Classic Collectible Figure 600 — quality action figures product.,29,30,155.07,77.81,147,9.38,1,2021-01-22T17:37:11Z
125,SKU-32-284719,Essential Mascara 345,Essential Mascara 345 — quality makeup product.,32,48,211.98,96.43,378,0.26,0,2021-01-22T19:35:10Z
126,SKU-20-875577,Lightweight Kids T-Shirt 868,Lightweight Kids T-Shirt 868 — quality kids product.,20,36,393.11,203.7,38,5.27,1,2021-01-22T21:59:49Z
127,SKU-15-162088,Heavy-Duty Desk 278,Heavy-Duty Desk 278 — quality furniture product.,15,43,14.63,8.76,314,9.52,1,2021-01-22T22:21:15Z
128,SKU-31-182145,Ultra Face Cream 266,Ultra Face Cream 266 — quality skincare product.,31,29,243.19,142.96,144,1.87,1,2021-01-22T23:12:50Z
129,SKU-23-764061,Elite Guidebook 347,Elite Guidebook 347 — quality non-fiction product.,23,7,361.57,275.79,203,11.99,1,2021-01-23T05:31:48Z
130,SKU-11-345709,Essential Headphones 248,Essential Headphones 248 — quality headphones product.,11,46,86.61,42.41,384,7.45,1,2021-01-23T07:20:23Z
131,SKU-25-695206,Heavy-Duty Resistance Bands 480,Heavy-Duty Resistance Bands 480 — quality fitness product.,25,53,367.03,179.45,13,6.11,1,2021-01-23T13:45:27Z
132,SKU-26-588310,Max Tent 232,Max Tent 232 — quality camping product.,26,56,667.8,351.68,454,1.38,1,2021-01-23T16:45:42Z
133,SKU-11-200443,Eco Headphones 447,Eco Headphones 447 — quality headphones product.,11,52,202.74,122.81,330,3.59,1,2021-01-23T18:40:23Z
134,SKU-33-512257,Pro Shampoo 951,Pro Shampoo 951 — quality hair care product.,33,66,317.5,185.17,206,14.18,1,2021-01-23T22:05:27Z
135,SKU-17-183692,Ultra Blender 865,Ultra Blender 865 — quality small appliances product.,17,61,405.57,262.14,472,13.41,1,2021-01-23T23:21:04Z
136,SKU-13-616669,Portable LED TV 217,Portable LED TV 217 — quality televisions product.,13,60,675.61,324.44,277,3.92,0,2021-01-24T02:46:06Z
137,SKU-19-356896,Smart Blouse 812,Smart Blouse 812 — quality women's product.,19,69,36.72,23.35,455,11.71,1,2021-01-24T09:32:05Z
138,SKU-22-214677,Ultra Novel 108,Ultra Novel 108 — quality fiction product.,22,61,442.96,276.19,204,13.73,1,2021-01-24T17:05:04Z
139,SKU-19-438849,Max Blouse 220,Max Blouse 220 — quality women's product.,19,13,579.4,306.56,378,2.67,1,2021-01-24T20:12:28Z
140,SKU-30-295975,Classic STEM Kit 489,Classic STEM Kit 489 — quality educational product.,30,33,691.03,319.45,283,5.2,1,2021-01-24T21:56:33Z
141,SKU-20-742404,Classic Kids Jacket 333,Classic Kids Jacket 333 — quality kids product.,20,18,348.65,225.35,138,2.37,1,2021-01-25T00:15:41Z
142,SKU-13-396163,Compact LED TV 158,Compact LED TV 158 — quality televisions product.,13,61,287.62,146.35,194,10.03,1,2021-01-25T04:22:02Z
143,SKU-25-389249,Lightweight Resistance Bands 711,Lightweight Resistance Bands 711 — quality fitness product.,25,16,100.42,72.36,381,3.59,1,2021-01-25T06:49:32Z
144,SKU-34-955057,Pro Multivitamin 746,Pro Multivitamin 746 — quality vitamins product.,34,36,68.16,31.12,293,10.98,1,2021-01-25T12:22:39Z
145,SKU-27-221852,Max Bike Light 245,Max Bike Light 245 — quality cycling product.,27,20,82.07,44.63,443,3.74,1,2021-01-25T15:17:14Z
146,SKU-35-362029,Smart All-Purpose Cleaner 597,Smart All-Purpose Cleaner 597 — quality cleaning product.,35,50,387.75,250.28,102,5.39,1,2021-01-25T16:10:12Z
147,SKU-17-435824,Classic Air Fryer 826,Classic Air Fryer 826 — quality small appliances product.,17,2,175.34,126.78,218,7.14,1,2021-01-25T23:10:04Z
148,SKU-28-807458,Smart Board Game 631,Smart Board Game 631 — quality board games product.,28,38,290.73,160.28,463,7.64,0,2021-01-26T00:46:47Z
149,SKU-19-329831,Essential Cardigan 923,Essential Cardigan 923 — quality women's product.,19,61,486.46,233.51,306,12.94,1,2021-01-26T06:55:28Z
150,SKU-14-597792,Portable Saucepan 864,Portable Saucepan 864 — quality cookware product.,14,62,337.78,170.86,69,1.72,1,2021-01-26T14:23:46Z
151,SKU-15-281810,Classic Desk 128,Classic Desk 128 — quality furniture product.,15,63,328.91,154.8,338,1.97,1,2021-01-26T16:25:50Z
152,SKU-27-665341,Smart Helmet 135,Smart Helmet 135 — quality cycling product.,27,52,258.07,190.59,321,14.06,1,2021-01-27T00:05:28Z
153,SKU-25-477025,Eco Resistance Bands 870,Eco Resistance Bands 870 — quality fitness product.,25,47,568.28,361.5,253,5.26,1,2021-01-27T05:50:02Z
154,SKU-23-362792,Classic Guidebook 796,Classic Guidebook 796 — quality non-fiction product.,23,25,780.16,368.66,306,7.67,1,2021-01-27T06:12:27Z
155,SKU-24-483359,Portable Storybook 785,Portable Storybook 785 — quality children's books product.,24,66,653.22,352.11,245,9.03,1,2021-01-27T11:26:59Z
156,SKU-18-162403,Smart T-Shirt 291,Smart T-Shirt 291 — quality men's product.,18,61,129.46,67.02,485,5.66,1,2021-01-27T16:32:24Z
157,SKU-24-544379,Heavy-Duty Picture Book 387,Heavy-Duty Picture Book 387 — quality children's books product.,24,35,441.2,253.67,278,6.42,1,2021-01-27T21:34:58Z
158,SKU-28-910670,Premium Card Game 954,Premium Card Game 954 — quality board games product.,28,29,371.18,219.95,240,8.38,1,2021-01-28T04:00:14Z
159,SKU-33-524196,Classic Hair Oil 577,Classic Hair Oil 577 — quality hair care product.,33,69,192.8,111.41,187,2.69,1,2021-01-28T10:31:39Z
160,SKU-20-114188,Classic Kids Shorts 264,Classic Kids Shorts 264 — quality kids product.,20,37,560.82,296.86,240,4.98,1,2021-01-28T11:32:52Z
161,SKU-14-134370,Elite Saucepan 262,Elite Saucepan 262 — quality cookware product.,14,28,411.63,246.57,147,4.73,0,2021-01-28T14:03:21Z
162,SKU-15-371988,Max Sofa 359,Max Sofa 359 — quality furniture product.,15,39,353.67,239.91,489,0.51,1,2021-01-28T17:13:42Z
163,SKU-20-383049,Eco Kids Jacket 385,Eco Kids Jacket 385 — quality kids product.,20,39,108.01,67.79,310,5.4,1,2021-01-28T22:18:56Z
164,SKU-33-038130,Portable Hair Oil 861,Portable Hair Oil 861 — quality hair care product.,33,58,428.47,238.33,50,5.01,1,2021-01-28T22:49:41Z
165,SKU-12-450760,Max Camera 871,Max Camera 871 — quality cameras product.,12,61,686.07,361.51,324,7.59,1,2021-01-29T04:01:26Z
166,SKU-21-557860,Deluxe Boots 178,Deluxe Boots 178 — quality shoes product.,21,54,404.83,241.64,438,9.22,1,2021-01-29T06:33:04Z
167,SKU-23-805182,Prime Biography 716,Prime Biography 716 — quality non-fiction product.,23,41,158.37,91.64,55,8.51,1,2021-01-29T13:19:01Z
168,SKU-22-104992,Elite Novel 319,Elite Novel 319 — quality fiction product.,22,61,380.66,247.94,189,5.66,1,2021-01-29T14:26:56Z
169,SKU-25-580928,Essential Yoga Mat 842,Essential Yoga Mat 842 — quality fitness product.,25,8,126.83,72.62,440,6.47,1,2021-01-29T17:38:18Z
170,SKU-34-082007,Ultra Multivitamin 546,Ultra Multivitamin 546 — quality vitamins product.,34,29,367.16,198.38,92,7.04,1,2021-01-30T00:39:52Z
171,SKU-28-951152,Pro Board Game 272,Pro Board Game 272 — quality board games product.,28,29,57.56,26.47,403,8.52,1,2021-01-30T08:38:54Z
172,SKU-11-428304,Pro Earbuds 938,Pro Earbuds 938 — quality headphones product.,11,50,430.11,224.93,126,9.56,1,2021-01-30T09:27:18Z
173,SKU-34-029186,Compact Probiotic 461,Compact Probiotic 461 — quality vitamins product.,34,29,145.67,99.07,73,4.36,1,2021-01-30T13:01:34Z
174,SKU-15-493293,Essential Sofa 230,Essential Sofa 230 — quality furniture product.,15,8,561.04,255.64,358,4.78,1,2021-01-30T20:29:21Z
175,SKU-29-748405,Ultra Collectible Figure 131,Ultra Collectible Figure 131 — quality action figures product.,29,36,562.24,256.21,74,11.73,1,2021-01-31T02:51:59Z
176,SKU-10-024440,Elite Mobile 557,Elite Mobile 557 — quality smartphones product.,10,19,339.2,248.98,226,12.48,1,2021-01-31T06:38:15Z
177,SKU-33-285931,Premium Conditioner 574,Premium Conditioner 574 — quality hair care product.,33,69,466.36,227.99,46,10.11,1,2021-01-31T07:16:21Z
178,SKU-27-721803,Classic Cycling Gloves 911,Classic Cycling Gloves 911 — quality cycling product.,27,17,459.83,254.19,286,14.51,1,2021-01-31T15:03:05Z
