id,order_id,payment_method,amount,status,transaction_id,paid_at
85,85,paypal,3605.49,completed,TXN-MBOFTUVMT6,2023-03-18T08:09:12Z
86,86,debit_card,2685.18,completed,TXN-SNDPYESH62,2022-06-20T08:41:53Z
87,87,credit_card,27.33,completed,TXN-KO22UKMIIC,2024-04-17T14:14:08Z
88,88,debit_card,93.63,completed,TXN-XD6P8Z3A,2023-08-03T12:46:25Z
89,89,paypal,2225.94,completed,TXN-AI4OTI6UYR,2024-08-15T23:12:57Z
90,90,debit_card,1540.76,completed,TXN-2UK66OQCOZ,2023-02-24T07:43:28Z
91,91,credit_card,2411.85,completed,TXN-LIQ5ISOG43,2024-05-28T11:48:38Z
92,92,credit_card,634.94,completed,TXN-7D3L5H9MXR,2024-08-12T05:41:36Z
93,93,credit_card,4311.51,pending,TXN-4JT57GY2SH,
94,94,debit_card,1771.95,completed,TXN-OW7MRX3K1I,2024-08-01T21:12:08Z
95,95,credit_card,457.68,completed,TXN-X2OJ97X59W,2024-11-25T09:06:03Z
96,96,credit_card,468.22,completed,TXN-62Q1PT4EQC,2025-01-07T05:29:37Z
97,97,credit_card,634.92,completed,TXN-MUYOG83AZX,2024-05-06T04:37:47Z
98,98,debit_card,3141,pending,TXN-RTSBXIO1KK,
99,99,credit_card,6975.73,completed,TXN-FVN2QD9PBY,2022-08-11T16:09:07Z
100,100,credit_card,2339.32,completed,TXN-4VXDWTOD3E,2025-01-04T03:42:14Z
101,101,credit_card,2147.45,completed,TXN-IGYGM64MB1,2024-04-19T09:48:54Z
102,102,paypal,2527.54,completed,TXN-BFY502O5Q6,2024-11-28T13:19:28Z
103,103,paypal,1595.77,completed,TXN-IBW5WL8DAP,2022-11-13T14:25:09Z
104,104,credit_card,856.52,completed,TXN-Q5ZTUW67QS,2024-07-21T21:48:22Z
105,105,debit_card,1588.47,refunded,TXN-UQNHS4ALX3,2023-12-07T04:30:04Z
106,106,credit_card,1074.92,completed,TXN-D5A24S9MMS,2023-07-20T15:11:47Z
107,107,paypal,1775.27,completed,TXN-COZ8CXTQKL,2023-08-10T08:12:09Z
108,108,credit_card,719.51,completed,TXN-L97SNIN5BM,2024-09-13T23:54:20Z
109,109,credit_card,653.64,completed,TXN-R1S8EI4ZA4,2023-10-02T20:19:49Z
110,110,paypal,3265.43,completed,TXN-CRBWSRRJU2,2023-10-11T12:19:35Z
111,111,credit_card,2245.28,completed,TXN-P1JANUPZ22,2022-10-09T09:25:38Z
112,112,google_pay,3070.72,completed,TXN-UNSZJ04MQ8,2024-12-27T05:59:14Z
113,113,google_pay,5562.16,completed,TXN-C4ZWIQCOBE,2024-10-12T11:04:45Z
114,114,paypal,3503.09,completed,TXN-4PV5FOA2EJ,2024-12-31T18:18:30Z
115,115,paypal,905.85,completed,TXN-TF1IMB0USI,2022-01-25T14:35:57Z
116,116,credit_card,836.38,completed,TXN-ZREIXTLZKP,2024-11-07T01:41:28Z
117,117,paypal,1217.48,completed,TXN-GCWIZXSFWV,2023-08-23T16:23:37Z
118,118,paypal,219.16,completed,TXN-E0GZ6ITTWP,2022-04-22T17:58:27Z
119,119,debit_card,2366.21,completed,TXN-LDNC9GHP8Q,2024-11-13T15:58:45Z
120,120,credit_card,1182.33,completed,TXN-LLMYFBHDVA,2024-01-19T12:21:48Z
121,121,apple_pay,1973.29,completed,TXN-ML0QNN2LMK,2024-07-06T14:12:16Z
122,122,credit_card,744,completed,TXN-4GIJ7R5FS8,2024-01-14T18:39:25Z
123,123,paypal,2516.17,completed,TXN-1ARUGL9I0I,2024-12-29T09:56:06Z
124,124,paypal,4820.66,pending,TXN-GSXWXDRDXX,
125,125,credit_card,2820.86,completed,TXN-BHWLDQ4ZPY,2024-05-20T13:50:59Z
126,126,credit_card,5395.39,refunded,TXN-KBZ6J6DZU7,2024-08-23T07:34:38Z
127,127,credit_card,2391.99,completed,TXN-NRTV10G21W,2024-02-28T10:02:43Z
128,128,paypal,2580.43,refunded,TXN-3N4OATLNNF,2023-12-30T09:46:41Z
129,129,debit_card,2993.4,completed,TXN-WJY6XT1WYL,2024-10-04T14:28:22Z
130,130,credit_card,2219.89,completed,TXN-JLPY4JWYPF,2023-05-28T04:26:57Z
131,131,credit_card,420.63,completed,TXN-N3XI86HZYU,2024-11-14T22:29:43Z
132,132,paypal,1445.59,completed,TXN-U0JDXUAJLG,2021-11-13T02:14:27Z
133,133,debit_card,365.51,completed,TXN-INH7RHYS9T,2023-03-30T02:16:23Z
134,134,credit_card,427.56,pending,TXN-SIB4J0P6Y7,
135,135,credit_card,1040.49,failed,TXN-GMQITVO4LX,
136,136,credit_card,64.8,completed,TXN-YG7LJFRNB1,2022-08-17T20:55:17Z
137,137,credit_card,5681.53,completed,TXN-SGO6MG0VZ9,2024-08-27T16:30:42Z
138,138,paypal,5310.71,completed,TXN-CWHS85NY00,2024-12-31T07:27:46Z
139,139,paypal,4543.67,completed,TXN-50XJRGDTGQ,2024-03-16T23:13:03Z
140,140,credit_card,206.3,completed,TXN-JI2QSSI9AR,2024-05-12T12:01:26Z
141,141,debit_card,249.65,completed,TXN-0WTKM6HMG7,2024-11-29T12:54:41Z
142,142,debit_card,609.16,pending,TXN-NEUSE6OCP3,
143,143,debit_card,2193.62,completed,TXN-NNMHD14TKL,2024-08-30T12:59:24Z
144,144,credit_card,3487.04,completed,TXN-70MNXMRLDG,2023-12-30T22:03:00Z
145,145,credit_card,2084.49,completed,TXN-ONGM8NNMJG,2024-12-02T20:21:29Z
146,146,credit_card,70.89,completed,TXN-NT11DJS2WF,2022-09-12T14:02:06Z
147,147,credit_card,782.04,completed,TXN-8JDKKWY8G2,2024-11-03T19:33:30Z
148,148,credit_card,3125.13,completed,TXN-92RIOQFEF3,2023-04-23T09:03:46Z
149,149,credit_card,2588.61,completed,TXN-01RI8EZU3Q,2023-05-29T19:45:52Z
150,150,credit_card,2683.87,completed,TXN-V6T3SG3TUR,2022-08-10T00:51:42Z
151,151,credit_card,3517.48,completed,TXN-NVJHE4XLJK,2023-12-07T17:34:30Z
152,152,credit_card,287.98,completed,TXN-VIQKJXK1V7,2024-05-27T20:49:50Z
153,153,credit_card,3039.34,refunded,TXN-6VJNSMYJV2,2024-08-18T14:53:04Z
154,154,credit_card,373.86,completed,TXN-LL97XLX3J9,2023-01-16T08:51:50Z
155,155,credit_card,527.19,completed,TXN-HFEYPUYDTU,2024-10-24T21:00:46Z
156,156,apple_pay,1330.32,failed,TXN-QYT854WN43,
157,157,credit_card,502.95,completed,TXN-C87SBXB3YG,2023-09-11T01:50:30Z
158,158,credit_card,2851.84,completed,TXN-ESBFARR05K,2023-08-13T11:34:52Z
159,159,credit_card,880.87,completed,TXN-TL94556NG2,2024-10-01T17:28:48Z
160,160,credit_card,3428.32,pending,TXN-A6S2XKB2CO,
161,161,credit_card,997.17,completed,TXN-SYFRHTY4WA,2024-07-05T05:10:51Z
162,162,credit_card,1258.28,completed,TXN-0JCK2WUCF7,2022-12-04T01:09:13Z
163,163,debit_card,39.11,completed,TXN-59R56P4UFB,2022-09-01T20:34:22Z
164,164,debit_card,1862.85,pending,TXN-2WECIMF82R,
165,165,debit_card,2906.25,refunded,TXN-0P3CGDFV6W,2024-11-14T00:38:50Z
166,166,credit_card,453,completed,TXN-4MZZWZZPY6,2024-09-25T03:56:43Z
167,167,debit_card,4168.33,completed,TXN-XSSGZQWD7U,2024-11-14T01:23:21Z
168,168,google_pay,3604.3,completed,TXN-DN95AI6RF5,2024-03-25T06:49:02Z
169,169,paypal,351.44,completed,TXN-DK0MPCB3JR,2021-07-15T10:09:39Z
170,170,credit_card,4180.32,completed,TXN-G5WGLHKJ6P,2024-06-15T16:44:42Z
171,171,apple_pay,4310.38,completed,TXN-Q1ILNMJ6KB,2024-10-02T23:44:26Z
172,172,credit_card,406.6,completed,TXN-IPJT8A59OY,2024-11-19T14:23:07Z
173,173,credit_card,611.84,completed,TXN-BMXE20RGMX,2024-04-17T14:55:15Z
174,174,credit_card,1402.27,completed,TXN-JK8AAXLWEP,2024-09-30T13:48:20Z
175,175,credit_card,698.81,completed,TXN-M2OCC691DM,2021-05-04T09:45:40Z
176,176,apple_pay,2728.2,completed,TXN-HHVZ0FF9F9,2021-03-31T21:21:13Z
177,177,credit_card,768.86,completed,TXN-7F62KDRB87,2024-06-14T08:44:02Z
178,178,google_pay,3548.76,completed,TXN-OFPQAIG8CU,2024-12-17T18:26:39Z
179,179,debit_card,2947,completed,TXN-2HEZ8VQJJH,2023-06-18T10:12:43Z
180,180,credit_card,2320.81,completed,TXN-R8E6OLDOXI,2024-12-15T17:24:44Z
181,181,credit_card,2692.06,completed,TXN-K1QMC3G3XA,2024-12-20T23:36:15Z
182,182,credit_card,1928.5,completed,TXN-7A1ILPG13V,2024-08-18T23:43:32Z
183,183,apple_pay,2780.27,completed,TXN-H1XGZZ2MQ6,2023-05-05T01:30:26Z
184,184,apple_pay,4835.68,completed,TXN-JJ3JKPTQVY,2024-05-22T01:29:05Z
185,185,apple_pay,1109.78,completed,TXN-9C4XN6B1TP,2024-11-06T05:58:40Z
186,186,credit_card,3834.27,pending,TXN-UR53ZOGD4K,
187,187,debit_card,67.81,completed,TXN-X9G404SHDG,2024-06-24T06:55:27Z
188,188,debit_card,336.78,completed,TXN-2XO398SU3U,2024-10-14T04:44:19Z
189,189,credit_card,399.52,completed,TXN-QP921997RQ,2024-10-27T16:51:02Z
190,190,paypal,369.95,completed,TXN-LUOFDNZX3Q,2024-02-16T22:56:48Z
191,191,apple_pay,763.98,refunded,TXN-BJ6AGYMA59,2025-01-13T05:53:55Z
192,192,credit_card,1246.83,completed,TXN-74OYS2AAH2,2022-06-26T14:01:17Z
193,193,paypal,1865.53,completed,TXN-TUFLX9Z7LL,2023-12-11T10:36:20Z
194,194,credit_card,520.98,completed,TXN-JL5XD7AHQK,2023-03-23T08:19:55Z
195,195,credit_card,1173.24,completed,TXN-GV6A25HCK9,2023-03-15T20:51:39Z
196,196,credit_card,1851.71,completed,TXN-YASOIJ4VJ1,2025-01-25T15:17:50Z
197,197,paypal,576.94,completed,TXN-4DVXZGE8VR,2022-10-15T13:36:13Z
198,198,debit_card,1436.23,completed,TXN-D6EG7NQOI3,2024-02-05T18:10:31Z
199,199,paypal,1123.81,completed,TXN-GCZ378ZSJW,2022-11-24T21:10:48Z
200,200,debit_card,1389.74,completed,TXN-FJCHZ09B0T,2024-01-14T10:59:57Z
201,201,credit_card,1348.7,completed,TXN-BWLEL7PXCN,2024-12-19T20:09:02Z
202,202,paypal,468.21,completed,TXN-ANYMCZZJC7,2024-10-08T06:42:29Z
203,203,gift_card,1263.97,completed,TXN-IXW79NV4FQ,2023-09-11T01:04:16Z
204,204,debit_card,751.91,completed,TXN-V6AT0NTE43,2024-08-23T06:47:08Z
205,205,apple_pay,2975.12,completed,TXN-LH4HXFH68C,2023-03-05T05:37:40Z
206,206,paypal,1478.8,completed,TXN-9P7NLY1W04,2024-06-26T07:28:50Z
207,207,credit_card,3129.32,completed,TXN-FAQXD36ACN,2023-11-21T01:33:44Z
208,208,credit_card,2162.4,completed,TXN-XALZ684NM2,2023-08-20T14:50:31Z
209,209,google_pay,496.47,completed,TXN-39U45EO38P,2024-04-03T02:13:57Z
210,210,credit_card,204.95,completed,TXN-Z8QRLMTL90,2023-02-05T13:06:25Z
211,211,credit_card,1749,completed,TXN-GNH4SK5XVZ,2023-12-31T05:35:52Z
212,212,paypal,1374.23,completed,TXN-OCIFWCH4ZN,2023-09-29T05:40:54Z
213,213,credit_card,252.31,completed,TXN-LHPHE4I7HI,2022-05-16T06:51:12Z
214,214,credit_card,1186.28,completed,TXN-4UQJ5NF9H2,2024-09-16T09:05:58Z
215,215,credit_card,848.31,completed,TXN-ILJTL2KALY,2023-12-16T05:26:32Z
216,216,debit_card,1114.81,completed,TXN-HUUKSNR0Q,2021-12-05T02:08:18Z
217,217,credit_card,169.12,completed,TXN-RBA9ONTNC1,2023-08-11T21:04:32Z
218,218,credit_card,3525.98,failed,TXN-83ALO584V6,
219,219,paypal,1634.36,completed,TXN-89B3LOB81Y,2024-11-21T00:33:34Z
220,220,paypal,2237.27,completed,TXN-4P6V5CVX84,2021-05-05T15:48:15Z
221,221,paypal,239.04,completed,TXN-F094C409AR,2024-11-14T01:38:07Z
222,222,google_pay,2757.98,refunded,TXN-X544J7TDRZ,2024-12-09T19:49:13Z
223,223,credit_card,974.04,completed,TXN-8P48KVYBBB,2024-01-19T22:22:53Z
224,224,credit_card,185.83,completed,TXN-AC9KLO0D2C,2021-11-11T10:42:34Z
225,225,paypal,59.82,completed,TXN-LQVVM9GAPL,2022-01-28T07:56:42Z
226,226,debit_card,1219.84,failed,TXN-B1QKKRK1D9,
227,227,debit_card,1188.79,completed,TXN-C0ANIJLH44,2024-07-22T02:45:25Z
228,228,debit_card,1032.61,completed,TXN-P22BITA287,2023-10-31T23:10:36Z
229,229,apple_pay,4320.75,completed,TXN-WL91YKAH3,2024-07-03T19:41:01Z
230,230,paypal,2622.18,completed,TXN-AE0D4ZLEZZ,2024-09-02T03:39:37Z
231,231,credit_card,2955.73,completed,TXN-OKZOUVYMKZ,2023-03-20T07:29:28Z
232,232,credit_card,5107.55,completed,TXN-L8PM7FGOPP,2024-07-10T08:34:51Z
233,233,credit_card,535.62,completed,TXN-BKKNLDXP7Q,2024-10-21T08:37:22Z
234,234,credit_card,1067.42,completed,TXN-3PHFV3LVJO,2023-10-22T15:31:51Z
235,235,paypal,2415.06,refunded,TXN-X1U6ZH9ZAO,2023-12-08T05:12:28Z
236,236,credit_card,262.64,completed,TXN-Z4D9YDT8BL,2024-10-24T20:53:36Z
237,237,credit_card,984.25,completed,TXN-P7FYSZ48HI,2024-12-23T01:34:39Z
238,238,credit_card,2424.88,refunded,TXN-MYUCZFB52U,2023-04-08T06:38:48Z
239,239,debit_card,2902.59,completed,TXN-5DMW2RCYP4,2023-07-07T11:44:34Z
240,240,credit_card,2785.62,completed,TXN-QIMGZJPD6W,2023-08-27T22:30:45Z
241,241,credit_card,254.27,completed,TXN-SLFDMR9YPV,2024-11-03T17:12:56Z
242,242,debit_card,306.5,completed,TXN-ZCUSJDEX9E,2024-10-24T21:04:05Z
243,243,credit_card,1919.17,pending,TXN-NNGMYJGDJL,
244,244,credit_card,1130.98,completed,TXN-8OK9RXHP5Y,2024-11-24T12:47:07Z
245,245,credit_card,1219.46,completed,TXN-7OSFHMKTDI,2024-09-09T17:00:11Z
246,246,credit_card,2845.71,completed,TXN-RXSS3K8FPD,2024-09-14T07:54:04Z
247,247,debit_card,115.57,completed,TXN-I6F99KK1R6,2022-04-26T09:32:45Z
248,248,credit_card,1490.87,completed,TXN-EK3BABSL1W,2025-01-15T06:31:56Z
249,249,credit_card,1021.59,pending,TXN-DN9E7QO8GK,
250,250,credit_card,2406.82,completed,TXN-GGXSEZP0O4,2024-12-30T23:43:46Z
251,251,debit_card,4281.01,completed,TXN-PTPHPGP3FB,2023-11-07T03:14:26Z
252,252,credit_card,5646.98,completed,TXN-IWDVPCJ963,2024-12-02T06:05:13Z
253,253,credit_card,1711.26,completed,TXN-JHU0B2DNVZ,2024-09-19T06:02:48Z
254,254,gift_card,2110.38,completed,TXN-UKICO6KK2H,2024-12-14T15:12:40Z
255,255,debit_card,371.76,completed,TXN-370R7S31B7,2024-04-28T13:37:29Z
256,256,credit_card,2033.3,pending,TXN-QJKQ8LPOAB,
257,257,credit_card,59.59,completed,TXN-LHG77MK99X,2022-06-09T06:33:33Z
258,258,debit_card,3757.44,completed,TXN-ZRN3J108CU,2023-08-16T21:08:50Z
259,259,apple_pay,1710.46,completed,TXN-WQACZUDK9O,2021-09-04T00:49:34Z
260,260,paypal,2055.41,completed,TXN-3WMGMK3KF1,2024-03-09T05:20:12Z
261,261,debit_card,1753.21,completed,TXN-426YO0F23C,2024-11-24T04:13:36Z
262,262,credit_card,1721.07,completed,TXN-LD4301PJ8C,2024-12-19T19:34:02Z
263,263,credit_card,485.48,completed,TXN-3B57HBXV8Z,2023-08-30T00:24:32Z
264,264,apple_pay,5779.24,completed,TXN-3N17E78TOJ,2024-03-22T17:28:53Z
265,265,paypal,1100.35,refunded,TXN-YBYKY491TK,2023-11-09T14:49:24Z
266,266,apple_pay,3158.68,refunded,TXN-DBNUM9FTB,2023-03-06T15:04:02Z
267,267,credit_card,315.22,completed,TXN-F7M8RO04WG,2024-07-22T01:38:24Z
268,268,apple_pay,666.95,completed,TXN-ZMC53TRJXV,2021-12-27T12:02:50Z
269,269,google_pay,4954.5,completed,TXN-F3X0DWC7SB,2024-10-10T04:24:08Z
270,270,google_pay,3481.31,completed,TXN-AXROD3P6YX,2023-12-06T00:35:38Z
271,271,credit_card,291.19,completed,TXN-SS34CKPR3,2024-08-28T07:24:33Z
272,272,paypal,5127.69,failed,TXN-RQGNC0PJP8,
273,273,credit_card,311.06,completed,TXN-97PC3G4VAT,2023-08-17T02:29:01Z
274,274,debit_card,834.85,completed,TXN-8PH25CJNSD,2024-12-20T22:23:26Z
275,275,debit_card,2775.77,completed,TXN-SKWWIXTNTO,2024-01-05T17:17:30Z
276,276,credit_card,1584.45,completed,TXN-MQJBRYWQJA,2024-07-15T10:19:54Z
277,277,debit_card,4369.05,completed,TXN-RKEN4K30YX,2025-01-18T19:48:25Z
278,278,paypal,2924.41,refunded,TXN-YXIHXW3POD,2024-06-10T07:23:23Z
279,279,debit_card,4604.96,completed,TXN-NSTWONW1FF,2024-06-07T15:29:54Z
280,280,paypal,2772.65,failed,TXN-HL6VPGQOA,
281,281,apple_pay,983.05,completed,TXN-FFW6JAA7U7,2024-07-04T17:02:10Z
282,282,credit_card,3253.63,completed,TXN-YIVQNQGXZH,2024-09-30T00:46:17Z
283,283,credit_card,3477.26,completed,TXN-H9OGECK5VK,2024-01-02T05:42:54Z
284,284,credit_card,448.33,completed,TXN-STAKLYU0QH,2024-12-24T05:48:10Z
285,285,credit_card,2369.75,completed,TXN-G2XSUXL3OM,2025-01-24T03:30:44Z
286,286,paypal,2456.57,completed,TXN-K3LWE54CP5,2023-01-20T21:43:54Z
287,287,credit_card,200.52,completed,TXN-3TJTOQ1V4A,2024-03-10T18:25:56Z
288,288,credit_card,1224.09,completed,TXN-LBR1CT95LG,2024-12-29T07:28:32Z
289,289,credit_card,761.11,completed,TXN-21KCOBJ34A,2024-02-22T11:43:34Z
290,290,credit_card,1527.6,completed,TXN-88TQSQOMDN,2023-12-12T02:13:48Z
291,291,credit_card,600.78,completed,TXN-BVBYVICSRO,2024-05-01T00:57:54Z
292,292,debit_card,2208.36,pending,TXN-FX1RK8G0MG,
293,293,google_pay,4207.31,completed,TXN-P003SV9AP9,2024-12-14T12:22:25Z
294,294,credit_card,230.92,completed,TXN-XDW9MZ13KC,2024-02-01T13:41:43Z
295,295,debit_card,5702.5,completed,TXN-WDUL1CHM6W,2023-11-09T22:09:07Z
296,296,credit_card,373.54,completed,TXN-RETW3R0LP1,2024-04-07T04:03:24Z
297,297,credit_card,5254.92,completed,TXN-3OPNDZ31NN,2021-10-17T08:41:08Z
298,298,debit_card,7795.73,completed,TXN-VQMV1EAKYO,2024-08-19T05:49:03Z
299,299,credit_card,845.62,completed,TXN-4CLMA9VUT1,2024-12-22T11:37:35Z
300,300,paypal,2424.66,refunded,TXN-KYUROBJXO3,2022-07-02T01:05:21Z
301,301,google_pay,1618.42,completed,TXN-U9RZMP426F,2023-09-16T17:32:18Z
302,302,credit_card,1845.28,completed,TXN-GP4HLWE848,2024-12-23T10:31:33Z
303,303,google_pay,856.51,completed,TXN-UWMZUTV0Z7,2024-11-15T03:59:33Z
304,304,paypal,655.35,completed,TXN-68RYH76L0E,2024-12-06T17:21:27Z
305,305,credit_card,413.39,completed,TXN-DQRDFQ58HA,2024-03-18T09:04:06Z
306,306,credit_card,1616.63,completed,TXN-V9SQYIX1RK,2025-01-26T15:17:08Z
307,307,debit_card,4920.43,completed,TXN-V17MMHI5R4,2025-01-04T14:36:50Z
308,308,debit_card,537.46,completed,TXN-MQQNAGMSIM,2022-12-15T20:57:48Z
309,309,debit_card,659.76,completed,TXN-ETMKY2554M,2023-04-09T23:35:21Z
